cook_id,cook_date,season,weight_lbs,grade,fat_cap_inches,equipment,wood_type,regional_style,cook_temp_f,wrap_technique,experience_level,ambient_temp_f,humidity_percent,wind_speed_mph,cook_time_hours,stall_duration_hours,internal_temp_f,rest_time_hours,tenderness_score,moisture_score,bark_quality_score,overall_rating,total_cost_usd
BRISKET_0001,2023-04-13,Spring,9.4,Select,0.46,Electric Smoker,Mesquite,Alabama,241,Butcher Paper,Intermediate,48,65,12.1,14.1,3.0,196.0,0.7,3.5,5.7,3.8,4.3,133.36
BRISKET_0002,2024-05-19,Spring,11.5,Select,0.19,Pellet Grill,Cherry,Memphis,251,No Wrap,Beginner,59,57,1.5,14.5,3.0,198.0,1.2,3.3,5.2,5.8,4.8,150.01
BRISKET_0003,2024-04-21,Spring,9.9,Select,0.09,Weber Smokey Mountain,Mesquite,Kansas City,242,Foil,Advanced,74,58,0.7,12.6,2.3,204.0,2.5,6.4,6.4,5.1,6.0,120.79
BRISKET_0004,2023-02-02,Winter,11.9,Choice,0.33,Weber Smokey Mountain,Apple,Alabama,254,Foil,Intermediate,49,42,3.1,24.0,3.3,210.0,0.5,4.8,6.9,4.1,5.2,191.41
BRISKET_0005,2023-04-06,Spring,8.8,Prime,0.27,Pellet Grill,Cherry,Carolina,251,No Wrap,Intermediate,44,63,7.4,17.8,4.0,198.0,0.6,5.6,7.5,6.1,6.4,185.96
BRISKET_0006,2024-09-24,Fall,14.6,Choice,0.11,Pellet Grill,Apple,Memphis,231,No Wrap,Beginner,28,54,0.1,24.0,3.2,202.0,1.0,2.9,5.0,4.0,4.0,235.05
BRISKET_0007,2024-07-19,Summer,14.9,Choice,0.45,Offset Smoker,Pecan,Memphis,217,No Wrap,Intermediate,78,60,8.0,24.0,4.4,210.0,0.6,5.3,6.3,6.5,6.0,219.71
BRISKET_0008,2024-02-07,Winter,16.1,Select,0.24,Electric Smoker,Oak,Texas,246,No Wrap,Intermediate,48,58,3.4,24.0,1.8,201.0,1.7,3.8,5.4,4.8,4.7,220.15
BRISKET_0009,2023-01-09,Winter,12.4,Prime,0.36,Offset Smoker,Apple,Texas,238,Butcher Paper,Advanced,49,29,15.0,24.0,2.0,191.0,0.6,4.9,8.0,6.3,6.4,228.87
BRISKET_0010,2024-01-27,Winter,17.9,Select,0.11,Kamado,Apple,Alabama,238,Butcher Paper,Beginner,18,51,6.7,24.0,1.7,206.0,1.2,1.5,3.2,2.7,2.5,215.2
BRISKET_0011,2024-05-26,Spring,10.4,Prime,0.1,Kamado,Pecan,Kansas City,252,No Wrap,Intermediate,57,69,27.2,24.0,3.1,190.0,1.2,4.7,7.3,6.1,6.0,209.15
BRISKET_0012,2024-06-21,Summer,14.5,Choice,0.39,Gas Smoker,Mixed,Memphis,237,No Wrap,Intermediate,65,71,19.6,24.0,2.1,199.0,0.7,4.3,6.4,5.3,5.3,215.8
BRISKET_0013,2024-11-22,Fall,19.4,Select,0.23,Electric Smoker,Oak,Carolina,207,No Wrap,Intermediate,15,56,14.1,24.0,4.6,196.0,0.6,1.4,4.1,1.9,2.5,235.81
BRISKET_0014,2024-09-25,Fall,11.1,Choice,0.12,Kamado,Mixed,Alabama,254,No Wrap,Professional,58,42,6.4,13.1,3.2,197.0,1.6,6.8,7.8,6.7,7.1,140.11
BRISKET_0015,2023-12-23,Winter,13.0,Choice,0.2,Kamado,Mixed,Texas,252,Foil,Intermediate,59,23,8.1,24.0,3.3,207.0,1.3,6.0,6.5,5.0,5.8,204.56
BRISKET_0016,2023-09-25,Fall,13.0,Select,0.2,Electric Smoker,Pecan,Kansas City,253,Foil,Intermediate,64,56,18.9,18.1,2.6,207.0,1.7,4.1,6.0,3.1,4.4,176.82
BRISKET_0017,2024-01-29,Winter,11.2,Select,0.29,Pellet Grill,Apple,Alabama,267,No Wrap,Intermediate,60,20,6.9,16.3,3.0,207.0,0.7,5.0,5.4,5.5,5.3,147.0
BRISKET_0018,2024-12-18,Winter,22.0,Select,0.27,Gas Smoker,Mixed,Alabama,237,Foil,Intermediate,25,41,5.4,24.0,3.4,200.0,1.0,3.1,5.8,2.2,3.7,234.08
BRISKET_0019,2024-09-25,Fall,18.5,Prime,0.27,Kamado,Apple,Texas,257,Foil,Beginner,55,32,2.1,24.0,1.0,210.0,0.8,5.4,6.7,5.1,5.8,316.48
BRISKET_0020,2023-12-14,Winter,15.2,Prime,0.27,Electric Smoker,Oak,Carolina,237,Butcher Paper,Beginner,46,43,2.7,24.0,4.0,210.0,0.6,5.3,6.9,6.7,6.3,281.75
BRISKET_0021,2023-01-08,Winter,10.7,Choice,0.16,Electric Smoker,Cherry,Carolina,208,Butcher Paper,Beginner,41,29,3.9,24.0,2.4,196.0,1.8,2.9,5.7,4.9,4.5,196.46
BRISKET_0022,2024-01-09,Winter,9.7,Prime,0.28,Offset Smoker,Mesquite,Carolina,241,No Wrap,Intermediate,17,49,3.8,24.0,3.3,210.0,1.2,4.2,5.8,4.4,4.8,
BRISKET_0023,2024-05-02,Spring,14.5,Choice,0.45,Gas Smoker,Mixed,Memphis,243,No Wrap,Intermediate,29,80,1.0,24.0,3.6,210.0,0.5,4.5,6.5,4.0,5.0,208.94
BRISKET_0024,2024-03-22,Spring,22.0,Prime,0.27,Offset Smoker,Oak,Alabama,221,Butcher Paper,Intermediate,19,62,4.8,24.0,1.3,199.0,1.2,5.4,6.3,5.1,5.6,343.29
BRISKET_0025,2024-10-24,Fall,16.8,Choice,0.22,Electric Smoker,Hickory,Kansas City,259,Butcher Paper,Intermediate,62,35,1.6,19.5,2.9,191.0,0.7,4.8,8.2,6.5,6.5,227.89
BRISKET_0026,2023-12-16,Winter,9.8,Prime,0.27,Electric Smoker,Pecan,Kansas City,246,Butcher Paper,Professional,38,39,0.0,16.8,2.0,200.0,2.5,6.7,8.7,8.2,7.9,182.44
BRISKET_0027,2023-01-15,Winter,19.2,Select,0.27,Gas Smoker,Apple,Texas,262,Butcher Paper,Intermediate,39,37,1.6,24.0,5.6,195.0,1.2,4.4,6.4,5.4,5.4,214.84
BRISKET_0028,2024-11-22,Fall,22.0,Prime,0.11,Gas Smoker,Pecan,Memphis,245,No Wrap,Beginner,32,63,3.5,24.0,2.2,202.0,1.0,4.7,5.5,4.6,4.9,
BRISKET_0029,2024-05-18,Spring,8.0,Prime,0.51,Pellet Grill,Oak,Kansas City,254,Butcher Paper,Beginner,76,66,10.1,7.8,4.0,206.0,1.0,5.2,6.9,6.2,6.1,127.38
BRISKET_0030,2023-01-10,Winter,22.0,Choice,0.49,Gas Smoker,Cherry,Texas,234,Foil,Advanced,53,74,1.8,24.0,2.4,200.0,1.9,7.0,7.7,5.7,6.8,275.47
BRISKET_0031,2023-09-27,Fall,16.4,Prime,0.12,Pellet Grill,Pecan,Kansas City,246,Foil,Intermediate,65,57,1.7,24.0,3.7,210.0,2.0,6.1,7.7,5.8,6.6,288.76
BRISKET_0032,2023-04-14,Spring,14.7,Choice,0.16,Pellet Grill,Pecan,Alabama,247,Foil,Advanced,61,37,22.5,24.0,3.4,191.0,1.6,5.2,7.2,4.4,5.6,227.83
